"param_name"      ,"param_value"       ,"distribution_json"                                                                                                                                                                                                                       ,"reward"
batch_size        ,7.0                 ,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [16, 32, 64, 128, 256, 512, 1024, 2048]}}"                                                                                                                         ,31.053019619546916
buffer_size       ,2.0                 ,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [10000, 100000, 1000000]}}"                                                                                                                                        ,31.053019619546916
compute_indicators,7.0                 ,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [""prices"", ""returns"", ""log_returns"", ""returns_hlc"", ""log_returns_hlc"", ""patterns"", ""returns_patterns_volatility"", ""momentum"", ""all"", ""misc""]}}",31.053019619546916
gamma             ,3.0                 ,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [0.9, 0.95, 0.98, 0.99, 0.995, 0.999, 0.9999]}}"                                                                                                                   ,31.053019619546916
learning_starts   ,1.0                 ,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [0, 1000, 10000, 20000]}}"                                                                                                                                         ,31.053019619546916
lookback          ,10.0                ,"{""name"": ""IntUniformDistribution"", ""attributes"": {""low"": 8, ""high"": 24, ""step"": 2}}"                                                                                                                                         ,31.053019619546916
lr                ,0.016325702025436928,"{""name"": ""LogUniformDistribution"", ""attributes"": {""low"": 5e-06, ""high"": 1}}"                                                                                                                                                   ,31.053019619546916
net_arch          ,0.0                 ,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [""xsmall"", ""small"", ""medium"", ""large"", ""xlarge""]}}"                                                                                                      ,31.053019619546916
noise             ,0.0                 ,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [""None"", ""NormalActionNoise"", ""OrnsteinUhlenbeckActionNoise""]}}"                                                                                             ,31.053019619546916
reward_penalty    ,2.0                 ,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [""none"", ""any"", ""all""]}}"                                                                                                                                    ,31.053019619546916
spread            ,4.0                 ,"{""name"": ""DiscreteUniformDistribution"", ""attributes"": {""low"": 2, ""high"": 5, ""q"": 1}}"                                                                                                                                        ,31.053019619546916
tau               ,3.0                 ,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [0.001, 0.005, 0.01, 0.02, 0.05]}}"                                                                                                                                ,31.053019619546916
total_timestamp   ,20000.0             ,"{""name"": ""DiscreteUniformDistribution"", ""attributes"": {""low"": 20000, ""high"": 20000, ""q"": 20000}}"                                                                                                                            ,31.053019619546916
train_freq        ,1.0                 ,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [8, 16, 32, 64, 128, 256, 512]}}"                                                                                                                                  ,31.053019619546916
use_sde           ,0.0                 ,"{""name"": ""DiscreteUniformDistribution"", ""attributes"": {""low"": 0, ""high"": 1, ""q"": 1}}"                                                                                                                                        ,31.053019619546916
